표준코드,제품코드,제품명,규격,단위,상한금액,업체명,주성분코드,주성분명,투여,분류
8806205000126,620500010,니페론씨알서방정40밀리그램(니페디핀)_(40mg/1정),1,정,289,에리슨제약(주),201409ATR,nifedipine   40mg,내복,217
8806205000232,620500020,옥시크로린정100밀리그램(히드록시클로로퀸황산염)_(0.1g/1정),1,정,173,에리슨제약(주),171701ATB,hydroxychloroquine sulfate   0.1g,내복,641
8806205000331,620500030,옥시크로린정200밀리그램(히드록시클로로퀸황산염)_(0.2g/1정),1,정,245,에리슨제약(주),171702ATB,hydroxychloroquine sulfate   0.2g,내복,641
8806205000454,620500040,몰시톤정2밀리그램(몰시도민)_(2mg/1정),1,정,118,에리슨제약(주),197001ATB,molsidomin   2mg,내복,217
8806205000560,620500050,몰시톤정4밀리그램(몰시도민)_(4mg/1정),1,정,213,에리슨제약(주),197002ATB,molsidomin   4mg,내복,217
8806205000645,620500060,콩브럭정5밀리그램(비소프롤롤푸마르산염)_(5mg/1정),1,정,198,에리슨제약(주),117902ATB,bisoprolol fumarate   5mg,내복,219
8806205000942,620500090,네비스톨정5밀리그램(네비보롤염산염)_(5.45mg/1정),1,정,197,에리슨제약(주),489501ATB,nebivolol hydrochloride (as nebivolol   5mg),내복,214
8806205001048,620500100,네비스톨정2.5밀리그램(네비보롤염산염)_(2.725mg/1정),1,정,132,에리슨제약(주),489502ATB,nebivolol hydrochloride (as nebivolol   2.5mg),내복,214
8806205001130,620500110,콩브럭정2.5밀리그램(비소프롤롤푸마르산염)_(2.5mg/1정),1,정,124,에리슨제약(주),117903ATB,bisoprolol fumarate   2.5mg,내복,211
8806205001239,620500120,콩브럭정1.25밀리그램(비소프롤롤푸마르산염)_(1.25mg/1정),1,정,82,에리슨제약(주),117904ATB,bisoprolol fumarate   1.25mg,내복,211
8806205001338,620500130,옥시크로린정150밀리그램(히드록시클로로퀸황산염)_(0.15g/1정),1,정,221,에리슨제약(주),171704ATB,hydroxychloroquine sulfate   0.15g,내복,641
8806205001413,620500140,아다핀오스모서방정30밀리그램(니페디핀)_(33mg/1정),1,정,337,에리슨제약(주),528201ATR,nifedipine(micronized)   33mg,내복,217
8806205001543,620500150,콩브럭정10밀리그램(비소프롤롤푸마르산염)_(10mg/1정),1,정,277,에리슨제약(주),117901ATB,bisoprolol fumarate   10mg,내복,219
8806205001642,620500160,옥시크로린정300밀리그램(히드록시클로로퀸황산염)_(0.3g/1정),1,정,309,에리슨제약(주),171705ATB,hydroxychloroquine sulfate   0.3g,내복,641
8806205001826,620500181,페링가니트0.1%주사(니트로글리세린)_(10mg/10mL),10,mL/앰플,2477,에리슨제약(주),202632BIJ,diluted nitroglycerin (as nitroglycerin   10mg(1mg/mL)),주사,217
8806205002113,620500210,이소켓서방캡슐120밀리그램(묽은이소소르비드이질산염)_(0.3g/1캡슐),1,캡슐,303,에리슨제약(주),178403ACR,isosorbide dinitrate   0.12g,내복,217
8806205002533,620500250,네비스톨정1.25밀리그램(네비보롤염산염)_(1.3625mg/1정),1,정,87,에리슨제약(주),489503ATB,nebivolol hydrochloride (as nebivolol   1.25mg),내복,214
8806205002724,620500270,옥시크로린정400밀리그램(히드록시클로로퀸황산염)_(0.4g/1정),1,정,323,에리슨제약(주),171703ATB,hydroxychloroquine sulfate   0.4g,내복,641
8806205002823,620500280,네비로스타정5/10밀리그램_(1정),1,정,790,에리슨제약(주),683000ATB,nebivolol hydrochloride (as nebivolol   5mg),내복,219
8806205002922,620500290,네비로스타정2.5/10밀리그램_(1정),1,정,730,에리슨제약(주),683200ATB,nebivolol hydrochloride (as nebivolol   2.5mg),내복,219
8806205003028,620500300,네비로스타정5/20밀리그램_(1정),1,정,860,에리슨제약(주),683100ATB,nebivolol hydrochloride (as nebivolol   5mg),내복,219
8806205003233,620500320,에리티브정10밀리그램(에제티미브)_(10mg/1정),1,정,350,에리슨제약(주),462201ATB,ezetimibe   10mg,내복,218
8806205003424,620500340,네비로스타정2.5/5밀리그램_(1정),1,정,478,에리슨제약(주),691200ATB,nebivolol hydrochloride (as nebivolol   2.5mg),내복,219
8806205003721,620500370,네비로스타정1.25/5밀리그램_(1정),1,정,433,에리슨제약(주),693000ATB,nebivolol hydrochloride (as nebivolol   1.25mg),내복,219
8806205003820,620500380,자렐슨정2.5밀리그램(리바록사반)_(2.5mg/1정),1,정,605,에리슨제약(주),511404ATB,rivaroxaban(micronized)   2.5mg,내복,333
8806205003929,620500390,네비로스타정2.5/20밀리그램_(1정),1,정,818,에리슨제약(주),708900ATB,nebivolol hydrochloride (as nebivolol   2.5mg),내복,219
8806205004537,620500450,엘탄서방정60밀리그램(묽은이소소르비드일질산염)_(66.67mg/1정),1,정,312,에리슨제약(주),178504ATR,isosorbide mononitrate   60mg,내복,217
8806205004636,620500460,엘탄서방정30밀리그램(묽은이소소르비드일질산염)_(33.335mg/1정),1,정,208,에리슨제약(주),178506ATR,isosorbide mononitrate   30mg,내복,217
8806205004711,620500470,"네비로스타정1.25/10밀리그램(네비보롤,로수바스타틴)_(1정)",1,정,699,에리슨제약(주),728100ATB,nebivolol hydrochloride (as nebivolol   1.25mg),내복,219
8806205004810,620500480,니페론씨알서방정20밀리그램(니페디핀)_(20mg/1정),1,정,193,에리슨제약(주),201402ATR,nifedipine   20mg,내복,217
8806211000325,621100031,할라벤주(에리불린메실산염)_(1mg/2mL),2,mL/병,173141,한국에자이(주),621330BIJ,eribulin mesylate (as eribulin   0.88mg(0.44mg/mL)),주사,421
8806211000424,621100040,살라겐정(필로카르핀염산염)_(5mg/1정),1,정,513,한국에자이(주),212301ATB,pilocarpine hydrochloride   5mg,내복,132
8806211000622,621100060,파이콤파필름코팅정2밀리그램(페람파넬)_(2.1mg/1정),1,정,693,한국에자이(주),642401ATB,perampanel (as perampanel anhydrate   2mg),내복,113
8806211000714,621100070,파이콤파필름코팅정4밀리그램(페람파넬)_(4.2mg/1정),1,정,1111,한국에자이(주),642402ATB,perampanel (as perampanel anhydrate   4mg),내복,113
8806211000813,621100080,파이콤파필름코팅정6밀리그램(페람파넬)_(6.2mg/1정),1,정,1384,한국에자이(주),642403ATB,perampanel (as perampanel anhydrate   6mg),내복,113
8806211000912,621100090,파이콤파필름코팅정12밀리그램(페람파넬)_(12.5mg/1정),1,정,2072,한국에자이(주),642406ATB,perampanel (as perampanel anhydrate   12mg),내복,113
8806211001018,621100100,파이콤파필름코팅정8밀리그램(페람파넬)_(8.3mg/1정),1,정,1620,한국에자이(주),642404ATB,perampanel (as perampanel anhydrate   8mg),내복,113
8806211001117,621100110,파이콤파필름코팅정10밀리그램(페람파넬)_(10.4mg/1정),1,정,1837,한국에자이(주),642405ATB,perampanel (as perampanel anhydrate   10mg),내복,113
8806211001223,621100120,아리셉트구강용해필름5밀리그램(도네페질염산염)_(5mg/1장),1,장,1231,한국에자이(주),148602ATD,donepezil hydrochloride   5mg,내복,119
8806211001322,621100130,아리셉트구강용해필름10밀리그램(도네페질염산염)_(10mg/1장),1,장,1541,한국에자이(주),148601ATD,donepezil hydrochloride   10mg,내복,119
8806211001414,621100140,렌비마캡슐10밀리그램(렌바티닙메실산염)_(12.25mg/1캡슐),1,캡슐,29739,한국에자이(주),645202ACH,lenvatinib mesylate (as lenvatinib   10mg),내복,421
8806211001513,621100150,렌비마캡슐4밀리그램(렌바티닙메실산염)_(4.9mg/1캡슐),1,캡슐,29739,한국에자이(주),645201ACH,lenvatinib mesylate (as lenvatinib   4mg),내복,421
8806211001933,621100191,"아보넥스펜주(인터페론베타-1a, 유전자재조합)_(30㎍/0.5mL)",0.5,mL/펜,215150,한국에자이(주),175731BIJ,interferon β-1a   30μg(60μg/mL),주사,119
8806211002015,621100201,티사브리주(나탈리주맙)_(0.3g/15mL),15,mL/병,1301500,한국에자이(주),622530BIJ,natalizumab   0.3g(20mg/mL),주사,119
8806211002138,621100211,"플레그리디펜주125마이크로그램(페그인터페론베타-1a,유전자재조합)_(0.125mg/0.5mL)",0.5,mL/펜,589274,한국에자이(주),654403BIJ,peginterferon β-1a   0.125mg(0.25mg/mL),주사,119
8806211002237,621100223,"플레그리디펜주스타터팩(페그인터페론베타-1a,유전자재조합)_(0.157mg/1팩)",1,팩(1+1펜),724807,한국에자이(주),654404BIJ,peginterferon β-1a   0.157mg(63μg+94μg),주사,119
8806211002312,621100230,텍피데라캡슐240밀리그램(디메틸푸마르산염)_(0.24g/1캡슐),1,캡슐,19695,한국에자이(주),648902ACH,dimethyl fumarate   0.24g,내복,119
8806211002411,621100240,텍피데라캡슐120밀리그램(디메틸푸마르산염)_(0.12g/1캡슐),1,캡슐,13129,한국에자이(주),648901ACH,dimethyl fumarate   0.12g,내복,119
8806211002510,621100251,파이콤파현탁액0.5mg/mL(페람파넬)_(0.1768g/340mL),340(1),mL/병,110,한국에자이(주),642407ASS,perampanel (as perampanel anhydrate   0.17g(0.5mg/mL)),내복,113
8806211002619,621100260,에퀴피나필름코팅정50밀리그램(사피나미드메실산염)_(65.88mg/1정),1,정,1907,한국에자이(주),689801ATB,safinamide mesylate (as safinamide   50mg),내복,119
8806211002725,621100270,지셀레카정100밀리그램(필고티닙말레산염)_(0.12724g/1정),1,정,13233,한국에자이(주),725201ATB,filgotinib maleate (as filgotinib   0.1g),내복,142
8806211002824,621100280,지셀레카정200밀리그램(필고티닙말레산염)_(0.25448g/1정),1,정,19851,한국에자이(주),725202ATB,filgotinib maleate (as filgotinib   0.2g),내복,142
8806214000117,621400011,프로핸스주프리필드시린지(가도테리돌)_(2.793g/10mL),10,mL/관,37976,브라코이미징코리아 유한회사,615131BIJ,gadoteridol   2.793g(0.2793g/mL),주사,721
8806214000216,621400021,프로핸스주프리필드시린지(가도테리돌)_(4.1895g/15mL),15,mL/관,49173,브라코이미징코리아 유한회사,615132BIJ,gadoteridol   4.1895g(0.2793g/mL),주사,721
8806214000315,621400031,프로핸스주프리필드시린지(가도테리돌)_(4.7481g/17mL),17,mL/관,52603,브라코이미징코리아 유한회사,615133BIJ,gadoteridol   4.7481g(0.2793g/mL),주사,721
8806214000711,621400071,프로핸스주(가도테리돌)_(5.586g/20mL),20,mL/병,56534,브라코이미징코리아 유한회사,615134BIJ,gadoteridol   5.586g(0.2793g/mL),주사,721
8806214000919,621400091,이오메론300주사액(이오메프롤)_(30.62g/50mL),50,mL/병,24432,브라코이미징코리아 유한회사,176431BIJ,iomeprol   30.62g(0.6124g/mL),주사,721
8806214000926,621400092,이오메론300주사액(이오메프롤)_(61.24g/100mL),100,mL/병,49346,브라코이미징코리아 유한회사,176435BIJ,iomeprol   61.24g(0.6124g/mL),주사,721
8806214000933,621400093,이오메론300주사액(이오메프롤)_(91.86g/150mL),150,mL/병,76917,브라코이미징코리아 유한회사,176438BIJ,iomeprol   91.86g(0.6124g/mL),주사,721
8806214000940,621400094,이오메론300주사액(이오메프롤)_(306.2g/500mL),500,mL/병,220058,브라코이미징코리아 유한회사,176440BIJ,iomeprol   306.2g(0.6124g/mL),주사,721
8806214001015,621400101,이오메론350주사액(이오메프롤)_(35.72g/50mL),50,mL/병,26518,브라코이미징코리아 유한회사,176432BIJ,iomeprol   35.72g(0.7144g/mL),주사,721
8806214001022,621400102,이오메론350주사액(이오메프롤)_(71.44g/100mL),100,mL/병,54754,브라코이미징코리아 유한회사,176436BIJ,iomeprol   71.44g(0.7144g/mL),주사,721
8806214001039,621400103,이오메론350주사액(이오메프롤)_(107.16g/150mL),150,mL/병,81385,브라코이미징코리아 유한회사,176439BIJ,iomeprol   107.16g(0.7144g/mL),주사,721
8806214001046,621400104,이오메론350주사액(이오메프롤)_(357.2g/500mL),500,mL/병,274357,브라코이미징코리아 유한회사,176441BIJ,iomeprol   357.2g(0.7144g/mL),주사,721
8806214001084,621400108,이오메론350주사액(이오메프롤)_(89.3g/125mL),125,mL/병,69875,브라코이미징코리아 유한회사,176451BIJ,iomeprol   89.3g(0.7144g/mL),주사,721
8806214001114,621400111,이오메론400주사액(이오메프롤)_(40.825g/50mL),50,mL/병,31776,브라코이미징코리아 유한회사,176433BIJ,iomeprol   40.825g(0.8165g/mL),주사,721
8806214001121,621400112,이오메론400주사액(이오메프롤)_(81.65g/100mL),100,mL/병,58790,브라코이미징코리아 유한회사,176437BIJ,iomeprol   81.65g(0.8165g/mL),주사,721
8806214001138,621400113,이오메론400주사액(이오메프롤)_(408.25g/500mL),500,mL/병,286086,브라코이미징코리아 유한회사,176442BIJ,iomeprol   408.25g(0.8165g/mL),주사,721
8806214001176,621400117,이오메론400주사액(이오메프롤)_(102.0625g/125mL),125,mL/병,80125,브라코이미징코리아 유한회사,176458BIJ,iomeprol   102.0625g(0.8165g/mL),주사,721
8806214001213,621400121,이오파미로300주사액(이오파미돌)_(30.62g/50mL),50,mL/병,20500,브라코이미징코리아 유한회사,176535BIJ,iopamidol   30.62g(0.6124g/mL),주사,721
8806214001220,621400122,이오파미로300주사액(이오파미돌)_(61.24g/100mL),100,mL/병,41000,브라코이미징코리아 유한회사,176540BIJ,iopamidol   61.24g(0.6124g/mL),주사,721
8806214001237,621400123,이오파미로300주사액(이오파미돌)_(91.86g/150mL),150,mL/병,61500,브라코이미징코리아 유한회사,176544BIJ,iopamidol   91.86g(0.6124g/mL),주사,721
8806214001244,621400124,이오파미로300주사액(이오파미돌)_(306.2g/500mL),500,mL/병,187013,브라코이미징코리아 유한회사,176550BIJ,iopamidol   306.2g(0.6124g/mL),주사,721
8806214001329,621400132,이오파미로370주사액(이오파미돌)_(37.765g/50mL),50,mL/병,22950,브라코이미징코리아 유한회사,176536BIJ,iopamidol   37.765g(0.7553g/mL),주사,721
8806214001336,621400133,이오파미로370주사액(이오파미돌)_(75.53g/100mL),100,mL/병,45900,브라코이미징코리아 유한회사,176541BIJ,iopamidol   75.53g(0.7553g/mL),주사,721
8806214001343,621400134,이오파미로370주사액(이오파미돌)_(113.295g/150mL),150,mL/병,68850,브라코이미징코리아 유한회사,176546BIJ,iopamidol   113.295g(0.7553g/mL),주사,721
8806214001350,621400135,이오파미로370주사액(이오파미돌)_(377.65g/500mL),500,mL/병,229500,브라코이미징코리아 유한회사,176551BIJ,iopamidol   377.65g(0.7553g/mL),주사,721
8806214001916,621400191,멀티핸스주프리필드시린지(가도베네이트디메글루민)_(7.935g/15mL),15,mL/관,57095,브라코이미징코리아 유한회사,466831BIJ,gadobenate dimeglumine   7.935g(0.529g/mL),주사,721
8806214002715,621400271,이오파미로300주사액(이오파미돌)_(6.124g/10mL),10,mL/병,4103,브라코이미징코리아(유),176530BIJ,iopamidol   6.124g(0.6124g/mL),주사,721
8806218002513,621800250,스노핀정275밀리그람(나프록센나트륨)_(0.275g/1정),1,정,70,(주)한국파비스제약,199501ATB,naproxen sodium   0.275g,내복,114
8806218005125,621800510,클라리신정(클래리스로마이신)_(0.25g/1정),1,정,735,(주)한국파비스제약,134901ATB,clarithromycin   0.25g,내복,619
